url,doc_id,title,audience,category,language,document_version,license_or_permission                                                                                                                      ,license_or_permission
https://help.shopee.vn/portal/4/article/204305-Nh%E1%BB%AFng-%C4%91i%E1%BB%81u-c%E1%BA%A7n-bi%E1%BA%BFt-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng-do-%22%C4%90%E1%BB%95i-%C3%BD%2Fkh%C3%B4ng-c%C3%B2n-nhu-c%E1%BA%A7u%22?previousPage=secondary,about-change-of-mind-returns,"Những điều cần biết về Trả hàng do ""Đổi ý/không còn nhu cầu""",Người mua,Trả hàng/Hoàn tiền,vi-VN,Không nêu trên trang,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
https://help.shopee.vn/portal/4/article/188931-[Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n]-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee?previousPage=secondary,general-returns-policy,[Trả hàng/Hoàn tiền] Những quy định chung về Trả hàng/Hoàn tiền của Shopee,Người mua,Trả hàng/Hoàn tiền,vi-VN,Không nêu trên trang,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
https://help.shopee.vn/portal/4/article/79465-[Trả-hàng%2F-Hoàn-tiền]-Sản-phẩm-hạn-chế-trả-hàng-là-gì?previousPage=secondary,restricted-returns-items,[Trả hàng/Hoàn tiền] Sản phẩm hạn chế trả hàng là gì?,Người mua,Trả hàng/Hoàn tiền,vi-VN,Không nêu trên trang,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
https://help.shopee.vn/portal/4/article/79046-[Quy-%C4%91%E1%BB%8Bnh]-Ch%C3%ADnh-s%C3%A1ch-b%E1%BA%A3o-h%C3%A0nh-cho-s%E1%BA%A3n-ph%E1%BA%A9m-mua-t%E1%BA%A1i-Shopee,warranty-for-items-from-shopee,[Quy định] Chính sách bảo hành cho sản phẩm mua tại Shopee,Người mua,Bảo hành,vi-VN,Không nêu trên trang,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
https://banhang.shopee.vn/edu/article/563,quy-dinh-tra-hang-hoan-tien-cho-nguoi-ban,Shopee Uni – Bài viết 563,seller,Vận hành bán hàng,vi-VN,Không xác định từ trang hiện tại,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
https://banhang.shopee.vn/edu/article/3649/Huong-dan-Nguoi-ban-theo-doi-hanh-trinh-don-hang-tra-ve,3649,Hướng dẫn Người bán theo dõi hành trình đơn hàng trả về,Người bán,Trả hàng/Hoàn tiền,vi-VN,Không nêu trên trang,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
https://banhang.shopee.vn/edu/article/25057,25057,Shopee Uni – Bài viết 25057,seller,Vận hành bán hàng,vi-VN,Không xác định từ trang hiện tại,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
https://banhang.shopee.vn/edu/article/3647,3647,Shopee Uni – Bài viết 3647,seller,Vận hành bán hàng,vi-VN,Không xác định từ trang hiện tại,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
https://banhang.shopee.vn/edu/article/10626,10626,Shopee Uni – Bài viết 10626,seller,Vận hành bán hàng,vi-VN,Không xác định từ trang hiện tại,,"Nội dung thuộc Shopee; trang được công khai trên website chính thức, không nêu giấy phép tái sử dụng"
